Column1,Column2,Column3,Column4,Column5,Column6
,,,,,
"Statistical table extracted on February 12, 2026 (14:19:13)",,,,,
http://www.ine.pt,,,,,
,,,,,
,,,,,
,,,,,
Data reference period,Place of residence at Census date [2021] (NUTS - 2024),"Resident population (No.) by Place of residence at Census date [2021] (NUTS - 2024), Sex and Age -  Decennial",,,
,,Sex,,,
,,MF,M,F,
,,Age,,,
,,Total,,,
,,No. ,No. ,No. ,
,160704: Arcozelo,3562,1678,1884,
,"160753: Ardegão, Freixo e Mato",1551,726,825,
,160754: Associação de freguesias do Vale do Neiva,903,441,462,
,160755: Bárrio e Cepões,786,372,414,
,160707: Beiral do Lima,500,235,265,
,160708: Bertiandos,360,167,193,
,160709: Boalhosa,117,49,68,
,160710: Brandara,420,196,224,
,160756: Cabaços e Fojo Lobal,818,389,429,
,160757: Cabração e Moreira do Lima,899,424,475,
,160713: Calheiros,930,445,485,
,160714: Calvelo,617,301,316,
,160716: Correlhã,2787,1339,1448,
,160717: Estorãos,408,201,207,
,160718: Facha,1390,656,734,
,160719: Feitosa,1865,883,982,
,160721: Fontão,1090,519,571,
,160758: Fornelos e Queijada,1869,884,985,
,160724: Friastelas,430,200,230,
,160726: Gandra,1065,504,561,
,160727: Gemieira,602,284,318,
,160728: Gondufe,421,204,217,
,160729: Labruja,383,185,198,
,"160759: Labrujó, Rendufe e Vilar do Monte",315,157,158,
,160760: Navió e Vitorino dos Piães,1544,716,828,
,160734: Poiares,737,344,393,
,160744: Rebordões (Santa Maria),969,457,512,
,160747: Rebordões (Souto),1011,484,527,
,160737: Refóios do Lima,1978,910,1068,
,160739: Ribeira,1846,874,972,
,160740: Sá,343,165,178,
,160742: Santa Comba,591,286,305,
,160743: Santa Cruz do Lima,401,194,207,
,160703: São Pedro d'Arcos,602,261,341,
,160745: Seara,694,340,354,
,160746: Serdedelo,429,197,232,
,160750: Vitorino das Donas,979,450,529,
,1608: Valença,13623,6420,7203,
,160802: Boivão,185,78,107,
,160803: Cerdal,1550,765,785,
,160805: Fontoura,685,336,349,
,160806: Friestas,513,240,273,
,160808: Ganfei,1207,580,627,
,160812: São Pedro da Torre,1243,563,680,
,160817: União das freguesias de Gandra e Taião,1391,669,722,
,160818: União das freguesias de Gondomil e Sanfins,418,190,228,
,160819: União das freguesias de São Julião e Silva,600,293,307,
,"160820: União das freguesias de Valença, Cristelo Covo e Arão",5258,2436,2822,
,160816: Verdoejo,573,270,303,
,1609: Viana do Castelo,85778,40499,45279,
,160901: Afife,1519,695,824,
,160902: Alvarães,2462,1167,1295,
,160903: Amonde,231,105,126,
,160904: Anha,2257,1053,1204,
,160905: Areosa,4698,2231,2467,
,160908: Carreço,1737,843,894,
,160910: Castelo do Neiva,2719,1275,1444,
,160940: Chafé,3447,1691,1756,
,160911: Darque,8002,3850,4152,
,160914: Freixieiro de Soutelo,465,235,230,
,160915: Lanheses,1517,687,830,
,160920: Montaria,450,193,257,
,160922: Mujães,1422,685,737,
,160925: Outeiro,1060,495,565,
,160926: Perre,2772,1343,1429,
,160928: Santa Marta de Portuzelo,3901,1865,2036,
,160923: São Romão de Neiva,1048,483,565,
,160941: União das freguesias de Barroselas e Carvoeiro,4701,2239,2462,
,160942: União das freguesias de Cardielos e Serreleis,2150,1013,1137,
,"160943: União das freguesias de Geraz do Lima (Santa Maria, Santa Leocádia e Moreira) e Deão",3044,1436,1608,
,160944: União das freguesias de Mazarefes e Vila Fria,2494,1204,1290,
,"160945: União das freguesias de Nogueira, Meixedo e Vilar de Murteda",1433,643,790,
,"160946: União das freguesias de Subportela, Deocriste e Portela Susã",2250,1069,1181,
,160947: União das freguesias de Torre e Vila Mou,1092,490,602,
,160948: União das freguesias de Viana do Castelo (Santa Maria Maior e Monserrate) e Meadela,25157,11687,13470,
,160938: Vila de Punhe,2064,999,1065,
,160935: Vila Franca,1686,823,863,
,1610: Vila Nova de Cerveira,8921,4320,4601,
,161003: Cornes,489,234,255,
,161004: Covas,603,291,312,
,161006: Gondarém,909,424,485,
,161007: Loivo,834,414,420,
,161009: Mentrestido,273,133,140,
,161012: Sapardos,330,171,159,
,161013: Sopo,497,244,253,
,161016: União das freguesias de Campos e Vila Meã,1751,929,822,
,161017: União das freguesias de Candemil e Gondar,313,147,166,
,161018: União das freguesias de Reboreda e Nogueira,1142,534,608,
,161019: União das freguesias de Vila Nova de Cerveira e Lovelhe,1780,799,981,
,112: Cávado,416605,199484,217121,
,0301: Amares,18595,9078,9517,
,030102: Barreiros,739,360,379,
,030104: Bico,816,395,421,
,030119: Bouro (Santa Maria),659,319,340,
,030120: Bouro (Santa Marta),427,209,218,
,030105: Caires,878,428,450,
,030107: Carrazedo,723,332,391,
,030108: Dornelas,510,244,266,
,030111: Fiscal,712,357,355,
,030112: Goães,490,246,244,
,030113: Lago,1824,904,920,
,030118: Rendufe,1080,546,534,
,030125: União das freguesias de Amares e Figueiredo,2767,1362,1405,
,"030126: União das freguesias de Caldelas, Sequeiros e Paranhos",1125,531,594,
,"030127: União das freguesias de Ferreiros, Prozelo e Besteiros",4728,2289,2439,
,030128: União das freguesias de Torre e Portela,563,280,283,
,"030129: União das freguesias de Vilela, Seramil e Paredes Secas",554,276,278,
,0302: Barcelos,116752,56218,60534,
,030201: Abade de Neiva,2009,958,1051,
,030202: Aborim,827,397,430,
,030203: Adães,755,363,392,
,030205: Airó,883,443,440,
,030206: Aldreu,795,395,400,
,030208: Alvelos,2010,973,1037,
,030209: Arcozelo,12824,6010,6814,
,030210: Areias,1026,497,529,
,030212: Balugães,787,386,401,
,030213: Barcelinhos,1869,915,954,
,030215: Barqueiros,1916,907,1009,
,030216: Cambeses,1236,599,637,
,030218: Carapeços,2168,1020,1148,
,030220: Carvalhal,1233,589,644,
,030221: Carvalhas,692,352,340,
,030224: Cossourado,758,363,395,
,030228: Cristelo,1657,810,847,
,030234: Fornelos,803,408,395,
,030235: Fragoso,2069,991,1078,
,030268: Galegos (Santa Maria),2848,1401,1447,
,030272: Galegos (São Martinho),1842,915,927,
,030237: Gilmonde,1497,729,768,
,030242: Lama,1164,560,604,
,030243: Lijó,2425,1146,1279,
,030244: Macieira de Rates,1907,908,999,
,030245: Manhente,1705,808,897,
,030247: Martim,2051,980,1071,
,030252: Moure,921,433,488,
,030254: Oliveira,986,497,489,
,030255: Palme,1045,497,548,
,030256: Panque,631,308,323,
,030257: Paradela,789,388,401,
,030259: Pereira,1241,597,644,
,030260: Perelhal,1700,832,868,
,030261: Pousa,2218,1036,1182,
,030263: Remelhe,1280,616,664,
,030265: Rio Covo (Santa Eugénia),1556,757,799,
,030264: Roriz,2021,990,1031,
,030279: Silva,900,439,461,
,030277: Tamel (São Veríssimo),2915,1417,1498,
,030282: Ucha,1416,673,743,
,030290: União das freguesias de Alheira e Igreja Nova,1347,638,709,
,030291: União das freguesias de Alvito (São Pedro e São Martinho) e Couto,1446,700,746,
,030292: União das freguesias de Areias de Vilar e Encourados,1740,943,797,
,"030293: União das freguesias de Barcelos, Vila Boa e Vila Frescainha (São Martinho e São Pedro)",11349,5454,5895,
,030294: União das freguesias de Campo e Tamel (São Pedro Fins),1509,735,774,
,030295: União das freguesias de Carreira e Fonte Coberta,2022,1008,1014,
,"030296: União das freguesias de Chorente, Góios, Courel, Pedra Furada e Gueral",2454,1173,1281,
