Column1,Column2,Column3,Column4,Column5,Column6
,,,,,
"Statistical table extracted on February 12, 2026 (14:19:13)",,,,,
http://www.ine.pt,,,,,
,,,,,
,,,,,
,,,,,
Data reference period,Place of residence at Census date [2021] (NUTS - 2024),"Resident population (No.) by Place of residence at Census date [2021] (NUTS - 2024), Sex and Age -  Decennial",,,
,,Sex,,,
,,MF,M,F,
,,Age,,,
,,Total,,,
,,No. ,No. ,No. ,
,031252: União das freguesias de Avidos e Lagoa,2537,1212,1325,
,031253: União das freguesias de Carreira e Bente,2352,1153,1199,
,031254: União das freguesias de Esmeriz e Cabeçudos,3616,1768,1848,
,"031255: União das freguesias de Gondifelos, Cavalões e Outiz",5131,2424,2707,
,"031256: União das freguesias de Lemenhe, Mouquim e Jesufrei",3141,1567,1574,
,031257: União das freguesias de Ruivães e Novais,2807,1394,1413,
,031258: União das freguesias de Seide,1514,735,779,
,"031259: União das freguesias de Vale (São Cosme), Telhado e Portela",5240,2565,2675,
,031260: União das freguesias de Vila Nova de Famalicão e Calendário,20928,9903,11025,
,031241: Vale (São Martinho),2036,1006,1030,
,031247: Vermoim,2947,1424,1523,
,031249: Vilarinho das Cambas,1485,795,690,
,0314: Vizela,23896,11645,12251,
,031404: Infias,1811,898,913,
,031401: Santa Eulália,5389,2636,2753,
,031408: União das freguesias de Caldas de Vizela (São Miguel e São João),11072,5292,5780,
,031409: União das freguesias de Tagilde e Vizela (São Paio),3360,1678,1682,
,031406: Vizela (Santo Adrião),2264,1141,1123,
,11A: Área Metropolitana do Porto,1736228,822268,913960,
,0104: Arouca,21146,10170,10976,
,010402: Alvarenga,1057,517,540,
,010407: Chave,1270,610,660,
,010409: Escariz,2111,1046,1065,
,010411: Fermedo,1261,601,660,
,010413: Mansores,1100,539,561,
,010414: Moldes,1126,529,597,
,010415: Rossas,1491,733,758,
,010416: Santa Eulália,2120,1029,1091,
,010417: São Miguel do Mato,550,268,282,
,010418: Tropeço,1086,511,575,
,010421: União das freguesias de Arouca e Burgo,5120,2402,2718,
,010422: União das freguesias de Cabreiros e Albergaria da Serra,185,85,100,
,010423: União das freguesias de Canelas e Espiunca,1064,516,548,
,010424: União das freguesias de Covelo de Paivó e Janarde,171,76,95,
,010419: Urrô,900,461,439,
,010420: Várzea,534,247,287,
,0107: Espinho,31043,14461,16582,
,010702: Espinho,10432,4708,5724,
,010704: Paramos,3127,1515,1612,
,010705: Silvalde,6108,2916,3192,
,010706: União das freguesias de Anta e Guetim,11376,5322,6054,
,1304: Gondomar,164257,77991,86266,
,130412: Baguim do Monte (Rio Tinto),14386,6765,7621,
,130405: Lomba,1284,613,671,
,130408: Rio Tinto,51083,23833,27250,
,130413: União das freguesias de Fânzeres e São Pedro da Cova,37753,18122,19631,
,130414: União das freguesias de Foz do Sousa e Covelo,7034,3400,3634,
,"130415: União das freguesias de Gondomar (São Cosme), Valbom e Jovim",47422,22638,24784,
,130416: União das freguesias de Melres e Medas,5295,2620,2675,
,1306: Maia,134977,64127,70850,
,130601: Águas Santas,26632,12608,14024,
,130618: Castêlo da Maia,18587,8877,9710,
,130619: Cidade da Maia,40534,19122,21412,
,130603: Folgosa,3605,1769,1836,
,130608: Milheirós,4762,2301,2461,
,130609: Moreira,13093,6272,6821,
,130620: Nogueira e Silva Escura,8380,4018,4362,
,130617: Pedrouços,11564,5367,6197,
,130613: São Pedro Fins,1816,892,924,
,130616: Vila Nova da Telha,6004,2901,3103,
,1308: Matosinhos,172557,81225,91332,
,"130811: União das freguesias de Custóias, Leça do Balio e Guifões",44045,21279,22766,
,130812: União das freguesias de Matosinhos e Leça da Palmeira,49034,22722,26312,
,"130813: União das freguesias de Perafita, Lavra e Santa Cruz do Bispo",29646,14180,15466,
,130814: União das freguesias de São Mamede de Infesta e Senhora da Hora,49832,23044,26788,
,0113: Oliveira de Azeméis,66175,32020,34155,
,011301: Carregosa,3466,1687,1779,
,011302: Cesar,3072,1495,1577,
,011303: Fajões,2896,1389,1507,
,011304: Loureiro,3638,1797,1841,
,011305: Macieira de Sarnes,1856,901,955,
,011310: Ossela,1918,917,1001,
,011315: São Martinho da Gândara,1854,896,958,
,011318: São Roque,5023,2457,2566,
,011320: União das freguesias de Nogueira do Cravo e Pindelo,5090,2472,2618,
,"011321: União das freguesias de Oliveira de Azeméis, Santiago de Riba-Ul, Ul, Macinhata da Seixa e Madail",20665,9856,10809,
,"011322: União das freguesias de Pinheiro da Bemposta, Travanca e Palmaz",6735,3315,3420,
,011319: Vila de Cucujães,9962,4838,5124,
,1310: Paredes,84354,40842,43512,
,131001: Aguiar de Sousa,1582,772,810,
,131002: Astromil,1067,513,554,
,131003: Baltar,4720,2255,2465,
,131004: Beire,2011,970,1041,
,131008: Cete,3091,1484,1607,
,131009: Cristelo,1761,858,903,
,131010: Duas Igrejas,3649,1790,1859,
,131011: Gandra,6966,3407,3559,
,131013: Lordelo,9106,4490,4616,
,131014: Louredo,1384,666,718,
,131017: Parada de Todeia,1792,892,900,
,131025: Paredes,20586,9819,10767,
,131018: Rebordosa,8496,4093,4403,
,131019: Recarei,4479,2170,2309,
,131020: Sobreira,4122,2005,2117,
,131021: Sobrosa,2497,1168,1329,
,131022: Vandoma,2306,1164,1142,
,131024: Vilela,4739,2326,2413,
,1312: Porto,231800,106153,125647,
,131202: Bonfim,22978,10378,12600,
,131203: Campanhã,29666,13705,15961,
,131210: Paranhos,45883,20904,24979,
,131211: Ramalde,38847,17753,21094,
,"131216: União das freguesias de Aldoar, Foz do Douro e Nevogilde",29085,13521,15564,
,"131217: União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",37430,16994,20436,
,131218: União das freguesias de Lordelo do Ouro e Massarelos,27911,12898,15013,
,1313: Póvoa de Varzim,64255,30238,34017,
,131305: Balazar,2482,1156,1326,
,131307: Estela,2287,1109,1178,
,131308: Laundos,1937,929,1008,
,131311: Rates,2472,1179,1293,
,"131315: União das freguesias da Póvoa de Varzim, Beiriz e Argivai",35435,16487,18948,
,131314: União das freguesias de Aguçadoura e Navais,5389,2595,2794,
,"131313: União das freguesias de Aver-o-Mar, Amorim e Terroso",14253,6783,7470,
,0109: Santa Maria da Feira,136674,65880,70794,
,010901: Argoncilhe,8181,3951,4230,
,010902: Arrifana,6311,3035,3276,
,010904: Escapães,3315,1569,1746,
,010907: Fiães,7096,3393,3703,
,010908: Fornos,3433,1681,1752,
,010913: Lourosa,8003,3789,4214,
,010914: Milheirós de Poiares,3594,1779,1815,
,010916: Mozelos,7297,3574,3723,
,010917: Nogueira da Regedoura,5723,2780,2943,
,010919: Paços de Brandão,4775,2340,2435,
,010921: Rio Meão,4813,2310,2503,
,010922: Romariz,2739,1329,1410,
,010924: Sanguedo,3474,1673,1801,
,010925: Santa Maria de Lamas,4747,2268,2479,
,010926: São João de Ver,11026,5353,5673,
,010918: São Paio de Oleiros,3661,1732,1929,
,010932: União das freguesias de Caldas de São Jorge e Pigeiros,3688,1796,1892,
,"010933: União das freguesias de Canedo, Vale e Vila Maior",8882,4299,4583,
,"010934: União das freguesias de Lobão, Gião, Louredo e Guisande",9647,4667,4980,
,"010935: União das freguesias de Santa Maria da Feira, Travanca, Sanfins e Espargo",19788,9419,10369,
,010936: União de freguesias de São Miguel de Souto e Mosteirô,6481,3143,3338,
,1314: Santo Tirso,67709,32241,35468,
,131401: Agrela,1486,704,782,
,131402: Água Longa,2341,1158,1183,
,131405: Aves,7946,3771,4175,
,131413: Monte Córdova,3848,1852,1996,
,131430: Negrelos (São Tomé),3755,1766,1989,
,131416: Rebordões,3130,1528,1602,
,131418: Reguenga,1427,667,760,
,131419: Roriz,3308,1615,1693,
,"131433: União das freguesias de Areias, Sequeiró, Lama e Palmeira",6369,3003,3366,
,131435: União das freguesias de Carreira e Refojos de Riba de Ave,2040,977,1063,
,131436: União das freguesias de Lamelas e Guimarei,1567,755,812,
,"131437: União das freguesias de Santo Tirso, Couto (Santa Cristina e São Miguel) e Burgães",20590,9630,10960,
,131434: Vila Nova do Campo,6315,3052,3263,
,131432: Vilarinho,3587,1763,1824,
,0116: São João da Madeira,22143,10380,11763,
,011601: São João da Madeira,22143,10380,11763,
,1318: Trofa,38548,18473,20075,
,131806: Covelas,1463,697,766,
,131808: Muro,1838,874,964,
,131809: União das freguesias de Alvarelhos e Guidões,4769,2343,2426,
,131810: União das freguesias de Bougado (São Martinho e Santiago),21374,10156,11218,
,131811: União das freguesias de Coronado (São Romão e São Mamede),9104,4403,4701,
,0119: Vale de Cambra,21269,10278,10991,
,011901: Arões,1169,551,618,
,011903: Cepelos,1157,557,600,
,011905: Junqueira,834,396,438,
,011906: Macieira de Cambra,4390,2123,2267,
,011907: Roge,1540,741,799,
,011902: São Pedro de Castelões,6831,3305,3526,
,"011910: União das freguesias de Vila Chã, Codal e Vila Cova de Perrinho",5348,2605,2743,
,1315: Valongo,94672,44973,49699,
,131501: Alfena,14438,6933,7505,
,131503: Ermesinde,39076,18311,20765,
,131506: União das freguesias de Campo e Sobrado,15276,7394,7882,
,131505: Valongo,25882,12335,13547,
,1316: Vila do Conde,80825,38717,42108,
,131602: Árvore,5569,2724,2845,
,131603: Aveleda,1224,588,636,
,131604: Azurara,2367,1131,1236,
,131607: Fajozes,1637,806,831,
,131610: Gião,1659,826,833,
,131611: Guilhabreu,2190,1064,1126,
,131612: Junqueira,1917,919,998,
,131613: Labruge,3000,1466,1534,
,131614: Macieira da Maia,2491,1219,1272,
,131616: Mindelo,3988,1881,2107,
,131617: Modivas,1764,841,923,
,"131631: União das freguesias de Bagunte, Ferreiró, Outeiro Maior e Parada",2662,1302,1360,
,131632: União das freguesias de Fornelo e Vairão,2411,1132,1279,
,131633: União das freguesias de Malta e Canidelo,2221,1088,1133,
,131634: União das freguesias de Retorta e Tougues,2044,1014,1030,
,131635: União das freguesias de Rio Mau e Arcos,2643,1261,1382,
,131636: União das freguesias de Touguinha e Touguinhó,3346,1602,1744,
,131637: União das freguesias de Vilar e Mosteiró,2398,1145,1253,
,131627: Vila Chã,3404,1632,1772,
,131628: Vila do Conde,29328,13817,15511,
,131630: Vilar de Pinheiro,2562,1259,1303,
,1317: Vila Nova de Gaia,303824,144099,159725,
,131701: Arcozelo,15144,7227,7917,
,131702: Avintes,10836,5283,5553,
,131703: Canelas,13918,6710,7208,
,131704: Canidelo,28054,13333,14721,
,131709: Madalena,10551,5045,5506,
,131712: Oliveira do Douro,22615,10672,11943,
,131717: São Félix da Marinha,13560,6573,6987,
,131725: União das freguesias de Grijó e Sermonde,12018,5748,6270,
,131726: União das freguesias de Gulpilhares e Valadares,22322,10595,11727,
,131727: União das freguesias de Mafamude e Vilar do Paraíso,52844,24443,28401,
,131728: União das freguesias de Pedroso e Seixezelo,20226,9760,10466,
,"131729: União das freguesias de Sandim, Olival, Lever e Crestuma",15956,7721,8235,
,131730: União das freguesias de Santa Marinha e São Pedro da Afurada,34032,15799,18233,
,131731: União das freguesias de Serzedo e Perosinho,13745,6658,7087,
,131723: Vilar de Andorinho,18003,8532,9471,
,11B: Alto Tâmega e Barroso,84248,40102,44146,
,1702: Boticas,5000,2392,2608,
,170217: Alturas do Barroso e Cerdedo,389,204,185,
,170218: Ardãos e Bobadela,463,224,239,
,170203: Beça,778,375,403,
,170219: Boticas e Granja,1540,733,807,
,"170220: Codessoso, Curros e Fiães do Tâmega",257,114,143,
,170208: Covas do Barroso,191,89,102,
,170210: Dornelas,274,123,151,
,170213: Pinho,328,155,173,
,170215: Sapiãos,397,187,210,
,170221: Vilar e Viveiro,383,188,195,
,1703: Chaves,37590,17838,19752,
,170301: Águas Frias,607,302,305,
,170302: Anelhe,444,213,231,
,170305: Bustelo,449,211,238,
,170309: Cimo de Vila da Castanheira,338,163,175,
,170310: Curalha,416,205,211,
,170312: Ervededo,595,284,311,
,170313: Faiões,831,409,422,
,170314: Lama de Arcos,291,136,155,
,170316: Mairos,271,117,154,
,170317: Moreiras,216,108,108,
,170318: Nogueira da Montanha,461,223,238,
,170320: Oura,515,246,269,
,170321: Outeiro Seco,849,425,424,
,170322: Paradela,216,105,111,
,170353: Planalto de Monforte (União das freguesias de Oucidres e Bobadela),260,125,135,
,170324: Redondelo,455,237,218,
,170327: Sanfins,200,90,110,
,170329: Santa Leocádia,254,114,140,
,170350: Santa Maria Maior,11408,5270,6138,
,170330: Santo António de Monforte,397,188,209,
,170331: Santo Estêvão,543,269,274,
,170333: São Pedro de Agostém,1323,628,695,
,170334: São Vicente,185,91,94,
,170340: Tronco,202,91,111,
,170354: União das freguesias da Madalena e Samaiões,2416,1111,1305,
,"170355: União das freguesias das Eiras, São Julião de Montenegro e Cela",850,421,429,
,170356: União das freguesias de Calvão e Soutelinho da Raia,431,201,230,
,170357: União das freguesias de Loivos e Póvoa de Agrações,586,277,309,
,170358: União das freguesias de Santa Cruz/Trindade e Sanjurge,3381,1672,1709,
,170359: União das freguesias de Soutelo e Seara Velha,461,232,229,
,170360: União das freguesias de Travancas e Roriz,454,205,249,
,170341: Vale de Anta,1625,758,867,
,"170361: Vidago (União das freguesias de Vidago, Arcossó, Selhariz e Vilarinho das Paranheiras)",1728,811,917,
,170343: Vila Verde da Raia,815,401,414,
,170344: Vilar de Nantes,1898,892,1006,
,170345: Vilarelho da Raia,464,230,234,
,170347: Vilas Boas,164,88,76,
,170349: Vilela do Tâmega,353,175,178,
,170348: Vilela Seca,238,114,124,
,1706: Montalegre,9261,4470,4791,
,170601: Cabril,512,249,263,
,170603: Cervos,227,118,109,
,170604: Chã,701,348,353,
,170607: Covelo do Gerês,166,83,83,
,170609: Ferral,293,140,153,
,170612: Gralhas,186,95,91,
,170616: Morgade,195,93,102,
,170618: Negrões,132,64,68,
,170619: Outeiro,143,74,69,
,170623: Pitões das Junias,151,69,82,
,170625: Reigoso,130,59,71,
,170626: Salto,1263,606,657,
,170627: Santo André,149,74,75,
,170629: Sarraquinhos,300,147,153,
,170631: Solveira,150,71,79,
,170632: Tourém,110,56,54,
,"170636: União das freguesias de Cambeses do Rio, Donões e Mourilhe",273,127,146,
,170637: União das freguesias de Meixedo e Padornelos,265,125,140,
,170638: União das freguesias de Montalegre e Padroso,1772,821,951,
,"170639: União das freguesias de Paradela, Contim e Fiães",245,117,128,
,170640: União das freguesias de Sezelhe e Covelães,229,110,119,
,170641: União das freguesias de Venda Nova e Pondras,344,159,185,
,170642: União das freguesias de Viade de Baixo e Fervidelas,695,339,356,
,170643: União das freguesias de Vilar de Perdizes e Meixide,463,236,227,
,170635: Vila da Ponte,167,90,77,
,1709: Ribeira de Pena,5884,2900,2984,
,170901: Alvadia,165,89,76,
,170902: Canedo,275,128,147,
,170906: Santa Marinha,551,277,274,
,170908: União das freguesias de Cerva e Limões,2285,1148,1137,
,170909: União das freguesias de Ribeira de Pena (Salvador) e Santo Aleixo de Além-Tâmega,2608,1258,1350,
,1712: Valpaços,14701,6888,7813,
,171201: Água Revés e Crasto,275,124,151,
,171203: Algeriz,502,233,269,
,171205: Bouçoães,303,140,163,
,171206: Canaveses,170,74,96,
,171232: Carrazedo de Montenegro e Curros,1643,805,838,
,171209: Ervões,534,263,271,
,171211: Fornos do Pinhal,320,156,164,
,171212: Friões,447,201,246,
,"171233: Lebução, Fiães e Nozelos",548,261,287,
,171215: Padrela e Tazem,277,128,149,
,171216: Possacos,358,168,190,
,171217: Rio Torto,284,127,157,
,171219: Santa Maria de Emeres,311,146,165,
,171220: Santa Valha,317,156,161,
,171221: Santiago da Ribeira de Alhariz,503,225,278,
,171222: São João da Corveira,455,206,249,
,171223: São Pedro de Veiga de Lila,243,119,124,
,171224: Serapicos,196,92,104,
,171234: Sonim e Barreiros,314,153,161,
,171235: Tinhela e Alvarelhos,261,119,142,
,171227: Vales,191,91,100,
,171236: Valpaços e Sanfins,4660,2163,2497,
,171229: Vassal,395,184,211,
,171230: Veiga de Lila,233,103,130,
,171231: Vilarandelo,961,451,510,
,1713: Vila Pouca de Aguiar,11812,5614,6198,
,171302: Alfarela de Jales,357,172,185,
,171319: Alvão,774,377,397,
,171303: Bornes de Aguiar,1933,913,1020,
,171304: Bragado,446,207,239,
,171305: Capeludos,363,168,195,
,171317: Sabroso de Aguiar,548,270,278,
,171310: Soutelo de Aguiar,602,286,316,
,171311: Telões,1328,630,698,
,171312: Tresminas,341,168,173,
,171320: União das freguesias de Pensalvos e Parada de Monteiros,288,134,154,
,171313: Valoura,295,146,149,
,171314: Vila Pouca de Aguiar,3118,1461,1657,
,171315: Vreia de Bornes,567,272,295,
,171316: Vreia de Jales,852,410,442,
,11C: Tâmega e Sousa,408637,197044,211593,
,1301: Amarante,52116,24740,27376,
,130103: Ansiães,516,248,268,
,130107: Candemil,586,276,310,
,130112: Fregim,2730,1281,1449,
,130115: Fridão,664,326,338,
,130117: Gondar,1536,735,801,
,130134: Gouveia (São Simão),577,284,293,
,130118: Jazente,517,256,261,
,130119: Lomba,820,408,412,
,130120: Louredo,630,303,327,
,130121: Lufrei,1594,758,836,
,130123: Mancelos,2829,1361,1468,
,130126: Padronelo,754,361,393,
,130128: Rebordelo,267,122,145,
,130129: Salvador do Monte,894,432,462,
,130135: Telões,3939,1903,2036,
,130136: Travanca,2012,961,1051,
,"130141: União das freguesias de Aboadela, Sanche e Várzea",1447,682,765,
,"130142: União das freguesias de Amarante (São Gonçalo), Madalena, Cepelos e Gatão",11564,5361,6203,
,"130143: União das freguesias de Bustelo, Carneiro e Carvalho de Rei",827,394,433,
,130144: União das freguesias de Figueiró (Santiago e Santa Cristina),3634,1739,1895,
,130145: União das freguesias de Freixo de Cima e de Baixo,3451,1663,1788,
,130146: União das freguesias de Olo e Canadelo,434,199,235,
,"130148: União das freguesias de Vila Garcia, Aboim e Chapa",1663,777,886,
,130138: Vila Caiz,2849,1333,1516,
,130139: Vila Chã do Marão,825,401,424,
,130147: Vila Meã,4557,2176,2381,
,1302: Baião,17534,8341,9193,
,130204: Frende,580,283,297,
,130205: Gestaçô,1013,484,529,
,130206: Gove,1742,865,877,
,130207: Grilo,472,241,231,
,130208: Loivos do Monte,301,149,152,
,130215: Santa Marinha do Zêzere,2469,1168,1301,
,130221: União das freguesias de Ancede e Ribadouro,2334,1115,1219,
,130222: União das freguesias de Baião (Santa Leocádia) e Mesquinhata,731,330,401,
,130223: União das freguesias de Campelo e Ovil,3686,1713,1973,
,130224: União das freguesias de Loivos da Ribeira e Tresouras,700,341,359,
,130225: União das freguesias de Santa Cruz do Douro e São Tomé de Covelas,1654,778,876,
,130226: União das freguesias de Teixeira e Teixeiró,723,336,387,
,130219: Valadares,733,352,381,
,130220: Viariz,396,186,210,
,0106: Castelo de Paiva,15586,7544,8042,
,010602: Fornos,1277,607,670,
,010606: Real,1194,572,622,
,010607: Santa Maria de Sardoura,2274,1125,1149,
,010608: São Martinho de Sardoura,1849,877,972,
,"010610: União das freguesias de Raiva, Pedorido e Paraíso",4208,2068,2140,
,010611: União das freguesias de Sobrado e Bairros,4784,2295,2489,
,0305: Celorico de Basto,17643,8421,9222,
,030501: Agilde,1159,578,581,
,030502: Arnóia,1512,729,783,
,030520: Basto (São Clemente),1381,675,706,
,030503: Borba de Montanha,1116,490,626,
,030508: Codeçoso,388,179,209,
,030510: Fervença,1057,496,561,
,030515: Moreira do Castelo,584,291,293,
,030517: Rego,1032,495,537,
,030518: Ribas,900,416,484,
,"030523: União das freguesias de Britelo, Gémeos e Ourilhe",3431,1651,1780,
,030524: União das freguesias de Caçarilhe e Infesta,510,239,271,
,030525: União das freguesias de Canedo de Basto e Corgo,1101,529,572,
,030526: União das freguesias de Carvalho e Basto (Santa Tecla),942,461,481,
,"030527: União das freguesias de Veade, Gagos e Molares",1712,797,915,
,030521: Vale de Bouro,818,395,423,
,1804: Cinfães,17730,8613,9117,
,180403: Cinfães,3080,1443,1637,
,180404: Espadanedo,1161,582,579,
,180405: Ferreiros de Tendais,540,273,267,
,180406: Fornelos,590,284,306,
,180408: Moimenta,356,173,183,
,180409: Nespereira,1695,819,876,
,180410: Oliveira do Douro,1257,635,622,
,180412: Santiago de Piães,1607,777,830,
,180413: São Cristóvão de Nogueira,1638,785,853,
,180414: Souselo,2839,1396,1443,
,180415: Tarouquela,1041,500,541,
,180416: Tendais,697,330,367,
,180417: Travanca,712,356,356,
,"180418: União das freguesias de Alhões, Bustelo, Gralheira e Ramires",517,260,257,
,1303: Felgueiras,55848,26964,28884,
,130301: Aião,828,417,411,
,130302: Airães,2292,1080,1212,
,130305: Friande,1750,865,885,
,130306: Idães,2550,1268,1282,
,130307: Jugueiros,1220,591,629,
,130313: Penacova,1062,520,542,
,130314: Pinheiro,1053,518,535,
,130315: Pombeiro de Ribavizela,2073,1025,1048,
,130317: Refontoura,1897,939,958,
,130318: Regilde,1182,561,621,
,130319: Revinhade,799,402,397,
,130324: Sendim,1564,753,811,
,130334: União das freguesias de Macieira da Lixa e Caramos,3605,1725,1880,
,"130335: União das freguesias de Margaride (Santa Eulália), Várzea, Lagares, Varziela e Moure",17695,8522,9173,
,"130336: União das freguesias de Pedreira, Rande e Sernande",3289,1589,1700,
,130337: União das freguesias de Torrados e Sousa,3287,1632,1655,
,130338: União das freguesias de Unhão e Lordelo,1099,544,555,
,130339: União das freguesias de Vila Cova da Lixa e Borba de Godim,6081,2801,3280,
,130340: União das freguesias de Vila Fria e Vizela (São Jorge),1105,530,575,
,130341: União das freguesias de Vila Verde e Santão,1417,682,735,
,1305: Lousada,47364,22890,24474,
,130502: Aveleda,2127,1037,1090,
,130504: Caíde de Rei,2423,1173,1250,
,130510: Lodares,2063,1002,1061,
,130512: Macieira,1285,607,678,
,130513: Meinedo,3800,1814,1986,
,130515: Nevogilde,2451,1207,1244,
,130524: Sousela,1789,874,915,
,130525: Torno,2451,1170,1281,
,130527: União das freguesias de Cernadelo e Lousada (São Miguel e Santa Margarida),2140,989,1151,
,"130528: União das freguesias de Cristelos, Boim e Ordem",7552,3700,3852,
,130529: União das freguesias de Figueiras e Covas,2145,1049,1096,
,130530: União das freguesias de Lustosa e Barrosas (Santo Estêvão),5815,2861,2954,
,130531: União das freguesias de Nespereira e Casais,3434,1682,1752,
,"130532: União das freguesias de Silvares, Pias, Nogueira e Alvarenga",6594,3116,3478,
,130526: Vilar do Torno e Alentém,1295,609,686,
,1307: Marco de Canaveses,49541,23771,25770,
,"130732: Alpendorada, Várzea e Torrão",8055,3923,4132,
,130733: Avessadas e Rosém,1374,679,695,
,130704: Banho e Carvalhosa,1074,505,569,
,130734: Bem Viver,3542,1674,1868,
,130705: Constance,1519,734,785,
,130736: Marco,11067,5240,5827,
,130737: Paredes de Viadores e Manhuncelos,1534,738,796,
,130738: Penha Longa e Paços de Gaiolo,2523,1240,1283,
,130739: Sande e São Lourenço do Douro,2445,1175,1270,
,130735: Santo Isidoro e Livração,1812,850,962,
,130722: Soalhães,3322,1573,1749,
,130723: Sobretâmega,1084,530,554,
,130724: Tabuado,1336,663,673,
,"130740: Várzea, Aliviada e Folhada",2346,1129,1217,
,130741: Vila Boa de Quires e Maureles,3460,1679,1781,
,130730: Vila Boa do Bispo,3048,1439,1609,
,1309: Paços de Ferreira,55595,27384,28211,
,130902: Carvalhosa,4514,2209,2305,
,130904: Eiriz,2181,1084,1097,
,130905: Ferreira,4244,2074,2170,
,130906: Figueiró,2477,1200,1277,
,130917: Frazão Arreigada,5827,2828,2999,
,130908: Freamunde,7557,3707,3850,
,130910: Meixomil,3749,1829,1920,
,130918: Paços de Ferreira,9669,4606,5063,
,130913: Penamaior,3586,1730,1856,
,130914: Raimonda,2491,1212,1279,
,130919: Sanfins Lamoso Codessos,5544,2661,2883,
,130916: Seroa,3756,2244,1512,
,1311: Penafiel,69629,33478,36151,
,131101: Abragão,2311,1150,1161,
,131102: Boelhe,1532,717,815,
,131103: Bustelo,1682,812,870,
,131104: Cabeça Santa,2354,1152,1202,
,131105: Canelas,1579,783,796,
,131106: Capela,964,449,515,
,131107: Castelões,1364,645,719,
,131108: Croca,1792,898,894,
,131109: Duas Igrejas,2255,1073,1182,
,131110: Eja,863,410,453,
,131112: Fonte Arcada,1459,709,750,
,131113: Galegos,2584,1278,1306,
,131141: Guilhufe e Urrô,3845,1843,2002,
,131115: Irivo,2100,1004,1096,
,131142: Lagares e Figueira,2780,1356,1424,
,131140: Luzim e Vila Cova,1539,750,789,
,131121: Oldrões,1954,916,1038,
,131122: Paço de Sousa,3838,1834,2004,
,131139: Penafiel,15676,7369,8307,
,131125: Perozelo,1317,624,693,
,131128: Rans,1804,880,924,
,131132: Recezinhos (São Mamede),1364,638,726,
,131133: Recezinhos (São Martinho),1708,830,878,
,131129: Rio de Moinhos,2536,1239,1297,
,131138: Rio Mau,1340,672,668,
,131134: Sebolido,823,401,422,
,131143: Termas de São Vicente,4758,2300,2458,
,131136: Valpedre,1508,746,762,
,1813: Resende,10051,4898,5153,
,181302: Barrô,595,282,313,
,181303: Cárquere,746,367,379,
,181310: Paus,421,203,218,
,181311: Resende,3076,1478,1598,
,181312: São Cipriano,670,346,324,
,181313: São João de Fontoura,537,257,280,
,181314: São Martinho de Mouros,1333,651,682,
,181316: União das freguesias de Anreade e São Romão de Aregos,1348,663,685,
,181317: União das freguesias de Felgueiras e Feirão,364,181,183,
,181318: União das freguesias de Freigil e Miomães,678,335,343,
,181319: União das freguesias de Ovadas e Panchorra,283,135,148,
,11D: Douro,183875,87368,96507,
,1701: Alijó,10486,5116,5370,
,170101: Alijó,2584,1261,1323,
,170107: Favaios,937,461,476,
,170108: Pegarinhos,394,188,206,
,170109: Pinhão,622,310,312,
,170112: Sanfins do Douro,1256,613,643,
,170113: Santa Eugénia,278,141,137,
,170114: São Mamede de Ribatua,586,282,304,
,170120: União das freguesias de Carlão e Amieiro,627,309,318,
,170121: União das freguesias de Castedo e Cotas,536,262,274,
,170122: União das freguesias de Pópulo e Ribalonga,409,198,211,
,"170123: União das freguesias de Vale de Mendiz, Casal de Loivos e Vilarinho de Cotas",449,218,231,
,170116: Vila Chã,445,212,233,
,170117: Vila Verde,547,262,285,
,170118: Vilar de Maçada,816,399,417,
,1801: Armamar,5678,2670,3008,
,180101: Aldeias,307,140,167,
,180120: Armamar,1510,719,791,
,180104: Cimbres,270,129,141,
,180106: Folgosa,334,162,172,
,180107: Fontelo,602,271,331,
,180109: Queimada,291,139,152,
,180110: Queimadela,208,108,100,
,180111: Santa Cruz,173,83,90,
,180114: São Cosmado,514,235,279,
,180115: São Martinho das Chãs,478,218,260,
,180121: União das freguesias de Aricera e Goujoim,185,92,93,
,180122: União das freguesias de São Romão e Santiago,224,101,123,
,180123: União das freguesias de Vila Seca e Santo Adrião,410,189,221,
,180118: Vacalar,172,84,88,
,0403: Carrazeda de Ansiães,5490,2633,2857,
,040304: Carrazeda de Ansiães,1706,806,900,
,040306: Fonte Longa,258,124,134,
,040308: Linhares,348,170,178,
,040309: Marzagão,293,154,139,
,040311: Parambos,182,87,95,
,040312: Pereiros,151,76,75,
,040313: Pinhal do Norte,214,103,111,
,040314: Pombal,230,101,129,
,040316: Seixo de Ansiães,241,115,126,
,040320: União das freguesias de Amedo e Zedes,401,198,203,
,040321: União das freguesias de Belver e Mogo de Malta,364,177,187,
,040322: União das freguesias de Castanheiro do Norte e Ribalonga,403,183,220,
,"040323: União das freguesias de Lavandeira, Beira Grande e Selores",337,170,167,
,040318: Vilarinho da Castanheira,362,169,193,
,0404: Freixo de Espada à Cinta,3216,1532,1684,
,040404: Ligares,333,148,185,
,040406: Poiares,327,160,167,
,040407: União das freguesias de Freixo de Espada à Cinta e Mazouco,2113,1007,1106,
,040408: União das freguesias de Lagoaça e Fornos,443,217,226,
,1805: Lamego,24312,11493,12819,
,180502: Avões,502,245,257,
,180504: Britiande,792,374,418,
,180505: Cambres,1592,757,835,
